GEOID1,GEOID,HD01_VD01,HD01_VD02,Ratio
1400000US,4023966402,963,337,0.35
1400000US,4025000202,2285,146,0.06
1400000US,4025000203,1724,94,0.05
1400000US,4025000204,1611,236,0.15
1400000US,4025000300,1422,82,0.06
1400000US,4025000401,1610,105,0.07
1400000US,4025000402,1542,99,0.06
1400000US,4025000500,1568,141,0.09
1400000US,4025000604,1340,89,0.07
1400000US,4025000605,2709,330,0.12
1400000US,4025000606,1677,243,0.14
1400000US,4025000607,2056,181,0.09
1400000US,4025000608,998,69,0.07
1400000US,4025000609,1125,159,0.14
1400000US,4025000610,1149,208,0.18
1400000US,4025000700,1156,141,0.12
1400000US,4025000801,865,14,0.02
1400000US,4025000802,1094,70,0.06
1400000US,4025000900,858,175,0.2
1400000US,4025001001,1383,97,0.07
1400000US,4025001002,848,33,0.04
1400000US,4025001101,1256,127,0.1
1400000US,4025001102,1163,41,0.04
1400000US,4025001200,2047,82,0.04
1400000US,4025001300,500,0,0
1400000US,4025001401,720,131,0.18
1400000US,4025001402,775,104,0.13
1400000US,4025001403,1126,118,0.1
1400000US,4025001500,1992,170,0.09
1400000US,4025001601,1251,298,0.24
1400000US,4025001602,1111,198,0.18
1400000US,4025001603,1715,223,0.13
1400000US,4025001701,1830,29,0.02
1400000US,4025001702,1365,35,0.03
1400000US,4025001703,853,42,0.05
1400000US,4025001801,863,63,0.07
1400000US,4025001802,1430,62,0.04
1400000US,4025001900,4013,127,0.03
1400000US,4025002001,1006,128,0.13
1400000US,4025002002,1286,222,0.17
1400000US,4025002003,1265,259,0.2
1400000US,4025002004,2444,298,0.12
1400000US,4025002100,770,180,0.23
1400000US,4027000100,393,124,0.32
1400000US,4027000200,841,196,0.23
1400000US,4027000301,889,299,0.34
1400000US,4027000302,1176,480,0.41
1400000US,4027000402,798,181,0.23
1400000US,4027000403,453,110,0.24
1400000US,4027000404,737,216,0.29
1400000US,4027000501,880,61,0.07
1400000US,4027000502,934,20,0.02
1400000US,4027000600,1294,134,0.1
1400000US,4027000700,962,345,0.36
1400000US,4027000800,1338,226,0.17
1400000US,4027000901,870,139,0.16
1400000US,4027000902,812,164,0.2
1400000US,4027000903,861,28,0.03
1400000US,4027000905,2170,159,0.07
1400000US,4027000907,1864,314,0.17
1400000US,4027000908,834,81,0.1
1400000US,4027001001,667,71,0.11
1400000US,4027001003,246,36,0.15
1400000US,4027001004,581,185,0.32
1400000US,4027001100,1288,184,0.14
1400000US,4027001200,889,49,0.06
1400000US,4027010905,913,200,0.22
1400000US,4027010907,1442,105,0.07
1400000US,4027010910,426,63,0.15
1400000US,4027010911,1499,112,0.07
1400000US,4027010913,337,45,0.13
1400000US,4027010914,192,37,0.19
1400000US,4027011000,675,192,0.28
1400000US,4027011104,1165,174,0.15
1400000US,4027011106,1901,199,0.1
1400000US,4027011107,556,5,0.01
1400000US,4027011108,1231,43,0.03
1400000US,4027011110,1050,97,0.09
1400000US,4027011111,986,107,0.11
1400000US,4027011112,761,16,0.02
1400000US,4027011114,803,70,0.09
1400000US,4027011115,1076,41,0.04
1400000US,4027011201,1291,194,0.15
1400000US,4027011202,463,51,0.11
1400000US,4027011403,1207,294,0.24
1400000US,4027011405,1298,315,0.24
1400000US,4027011406,2407,652,0.27
1400000US,4027011501,670,231,0.34
1400000US,4027011503,1387,400,0.29
1400000US,4027011504,2456,604,0.25
1400000US,4027011600,2374,556,0.23
1400000US,4027011700,431,34,0.08
1400000US,4027011800,1748,357,0.2
1400000US,4027012100,279,11,0.04
1400000US,4027980003,0,0,0
1400000US,4027980004,0,0,0
1400000US,4027980005,0,0,0
1400000US,4027980006,868,62,0.07
